accession,cik,name,filing_date,acceptance_et,after_hours,items,llm_label
0001193125-24-113883,0000943819,RESMED INC,2024-04-25,2024-04-25T16:07:05-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-24-014223,0000943819,RESMED INC,2024-01-24,2024-01-24T16:06:01-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-23-264072,0000943819,RESMED INC,2023-10-26,2023-10-26T16:05:53-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-23-202850,0000943819,RESMED INC,2023-08-03,2023-08-03T16:06:09-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-23-122110,0000943819,RESMED INC,2023-04-27,2023-04-27T16:06:05-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-23-016231,0000943819,RESMED INC,2023-01-26,2023-01-26T16:05:45-05:00,True,"2.02,5.02,8.01,9.01",OTHER
0001193125-22-270961,0000943819,RESMED INC,2022-10-27,2022-10-27T16:05:39-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-22-218522,0000943819,RESMED INC,2022-08-11,2022-08-11T16:07:02-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-22-127535,0000943819,RESMED INC,2022-04-28,2022-04-28T16:07:35-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-22-019765,0000943819,RESMED INC,2022-01-27,2022-01-27T16:06:08-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-21-311286,0000943819,RESMED INC,2021-10-28,2021-10-28T16:07:09-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-21-237704,0000943819,RESMED INC,2021-08-05,2021-08-05T16:08:39-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-21-140371,0000943819,RESMED INC,2021-04-29,2021-04-29T16:06:05-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-21-020758,0000943819,RESMED INC,2021-01-28,2021-01-28T16:05:55-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-20-281037,0000943819,RESMED INC,2020-10-29,2020-10-29T16:05:43-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-20-210635,0000943819,RESMED INC,2020-08-05,2020-08-05T16:05:57-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-20-128755,0000943819,RESMED INC,2020-04-30,2020-04-30T16:05:44-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-20-019606,0000943819,RESMED INC,2020-01-30,2020-01-30T16:05:40-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-19-273579,0000943819,RESMED INC,2019-10-24,2019-10-24T16:05:55-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-19-202515,0000943819,RESMED INC,2019-07-25,2019-07-25T16:05:56-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-19-134997,0000943819,RESMED INC,2019-05-02,2019-05-02T16:06:03-04:00,True,"2.02,8.01,9.01",OTHER
0001193125-19-015912,0000943819,RESMED INC,2019-01-24,2019-01-24T16:05:40-05:00,True,"2.02,8.01,9.01",OTHER
0001193125-25-297576,0001110803,"ILLUMINA, INC.",2025-11-25,2025-11-25T17:06:36-05:00,True,"8.01,9.01",OTHER
0001193125-25-277870,0001110803,"ILLUMINA, INC.",2025-11-12,2025-11-12T16:59:57-05:00,True,"8.01,9.01",OTHER
0001193125-25-144290,0001110803,"ILLUMINA, INC.",2025-06-23,2025-06-23T09:24:49-04:00,False,"1.01,8.01,9.01",OTHER
0001193125-24-215883,0001110803,"ILLUMINA, INC.",2024-09-09,2024-09-09T16:02:31-04:00,True,"1.02,8.01,9.01",OTHER
0001193125-24-214335,0001110803,"ILLUMINA, INC.",2024-09-05,2024-09-05T17:27:02-04:00,True,8.01,OTHER
0001193125-24-167025,0001110803,"ILLUMINA, INC.",2024-06-24,2024-06-24T17:00:58-04:00,True,"1.01,2.01,8.01,9.01",OTHER
0001193125-24-153239,0001110803,"ILLUMINA, INC.",2024-06-03,2024-06-03T17:25:32-04:00,True,"2.05,8.01",OTHER
0000950157-23-000577,0001110803,"ILLUMINA, INC.",2023-05-25,2023-05-25T16:58:28-04:00,True,"8.01,9.01",OTHER
0001193125-22-303832,0001110803,"ILLUMINA, INC.",2022-12-13,2022-12-13T16:31:01-05:00,True,"8.01,9.01",OTHER
0001193125-22-296685,0001110803,"ILLUMINA, INC.",2022-12-01,2022-12-01T17:22:57-05:00,True,8.01,OTHER
0000950157-22-000997,0001110803,"ILLUMINA, INC.",2022-09-06,2022-09-06T17:13:40-04:00,True,"8.01,9.01",OTHER
0001110803-22-000035,0001110803,"ILLUMINA, INC.",2022-07-14,2022-07-14T16:02:53-04:00,True,"8.01,9.01",OTHER
0001110803-22-000026,0001110803,"ILLUMINA, INC.",2022-05-06,2022-05-06T17:12:11-04:00,True,"8.01,9.01",OTHER
0000950157-21-001099,0001110803,"ILLUMINA, INC.",2021-10-15,2021-10-14T21:08:51-04:00,True,"8.01,9.01",OTHER
0000950157-21-000850,0001110803,"ILLUMINA, INC.",2021-08-18,2021-08-18T17:05:26-04:00,True,"1.01,2.01,2.03,8.01,9.01",OTHER
0001193125-21-089600,0001110803,"ILLUMINA, INC.",2021-03-22,2021-03-22T16:31:09-04:00,True,"8.01,9.01",OTHER
0000950157-21-000344,0001110803,"ILLUMINA, INC.",2021-03-16,2021-03-16T16:21:27-04:00,True,8.01,OTHER
0001193125-21-079640,0001110803,"ILLUMINA, INC.",2021-03-12,2021-03-12T16:07:59-05:00,True,"8.01,9.01",OTHER
0000950157-21-000303,0001110803,"ILLUMINA, INC.",2021-03-04,2021-03-04T17:28:02-05:00,True,8.01,OTHER
0001110803-20-000066,0001110803,"ILLUMINA, INC.",2020-11-10,2020-11-09T18:50:24-05:00,True,8.01,OTHER
0000950157-20-001121,0001110803,"ILLUMINA, INC.",2020-09-21,2020-09-21T09:27:21-04:00,False,"1.01,8.01,9.01",OTHER
0001110803-19-000060,0001110803,"ILLUMINA, INC.",2019-12-18,2019-12-18T16:19:00-05:00,True,8.01,OTHER
0001110803-19-000031,0001110803,"ILLUMINA, INC.",2019-06-18,2019-06-18T06:14:36-04:00,False,8.01,OTHER
0000914475-24-000229,0000914475,NEUROCRINE BIOSCIENCES INC,2024-12-20,2024-12-20T08:06:42-05:00,False,8.01,REGULATORY
0000914475-24-000214,0000914475,NEUROCRINE BIOSCIENCES INC,2024-11-01,2024-11-01T08:31:33-04:00,False,8.01,OTHER
0000914475-24-000199,0000914475,NEUROCRINE BIOSCIENCES INC,2024-08-28,2024-08-28T07:00:59-04:00,False,"7.01,8.01,9.01",CLINICAL
0000914475-23-000078,0000914475,NEUROCRINE BIOSCIENCES INC,2023-11-13,2023-11-13T07:01:14-05:00,False,8.01,OTHER
0000914475-23-000075,0000914475,NEUROCRINE BIOSCIENCES INC,2023-11-09,2023-11-09T17:03:30-05:00,True,8.01,OTHER
0000914475-23-000067,0000914475,NEUROCRINE BIOSCIENCES INC,2023-10-06,2023-10-06T09:00:44-04:00,False,8.01,OTHER
0000914475-23-000065,0000914475,NEUROCRINE BIOSCIENCES INC,2023-10-05,2023-10-05T07:02:38-04:00,False,"8.01,9.01",CLINICAL
0000914475-23-000062,0000914475,NEUROCRINE BIOSCIENCES INC,2023-09-12,2023-09-12T07:31:30-04:00,False,"8.01,9.01",CLINICAL
0000914475-23-000023,0000914475,NEUROCRINE BIOSCIENCES INC,2023-03-29,2023-03-28T20:44:59-04:00,True,8.01,OTHER
0000914475-23-000016,0000914475,NEUROCRINE BIOSCIENCES INC,2023-02-24,2023-02-23T19:14:07-05:00,True,8.01,OTHER
0000914475-22-000035,0000914475,NEUROCRINE BIOSCIENCES INC,2022-06-01,2022-05-31T21:04:02-04:00,True,8.01,OTHER
0000914475-22-000032,0000914475,NEUROCRINE BIOSCIENCES INC,2022-05-25,2022-05-24T21:44:44-04:00,True,"8.01,9.01",OTHER
0000914475-21-000064,0000914475,NEUROCRINE BIOSCIENCES INC,2021-12-23,2021-12-23T08:00:49-05:00,False,8.01,OTHER
0000914475-21-000009,0000914475,NEUROCRINE BIOSCIENCES INC,2021-02-02,2021-02-02T16:04:20-05:00,True,8.01,OTHER
0000914475-20-000043,0000914475,NEUROCRINE BIOSCIENCES INC,2020-11-24,2020-11-24T08:02:21-05:00,False,8.01,OTHER
0000914475-20-000040,0000914475,NEUROCRINE BIOSCIENCES INC,2020-11-19,2020-11-19T08:07:53-05:00,False,"8.01,9.01",OTHER
0000914475-20-000005,0000914475,NEUROCRINE BIOSCIENCES INC,2020-07-28,2020-07-28T16:10:31-04:00,True,8.01,OTHER
0001193125-20-191864,0000914475,NEUROCRINE BIOSCIENCES INC,2020-07-13,2020-07-13T16:05:56-04:00,True,8.01,REGULATORY
0001159036-25-000049,0001159036,"HALOZYME THERAPEUTICS, INC.",2025-11-07,2025-11-07T08:02:52-05:00,False,"8.01,9.01",OTHER
0001159036-25-000047,0001159036,"HALOZYME THERAPEUTICS, INC.",2025-11-05,2025-11-05T16:59:47-05:00,True,"1.01,2.03,8.01,9.01",OTHER
0001159036-23-000051,0001159036,"HALOZYME THERAPEUTICS, INC.",2023-09-07,2023-09-07T07:14:46-04:00,False,8.01,OTHER
0001159036-23-000017,0001159036,"HALOZYME THERAPEUTICS, INC.",2023-03-13,2023-03-13T08:47:04-04:00,False,8.01,OTHER
0001193125-22-221861,0001159036,"HALOZYME THERAPEUTICS, INC.",2022-08-16,2022-08-16T08:42:32-04:00,False,"8.01,9.01",OTHER
0001193125-22-220557,0001159036,"HALOZYME THERAPEUTICS, INC.",2022-08-15,2022-08-15T07:18:34-04:00,False,"8.01,9.01",OTHER
0001193125-21-055596,0001159036,"HALOZYME THERAPEUTICS, INC.",2021-02-25,2021-02-25T06:06:02-05:00,False,"8.01,9.01",OTHER
0001193125-21-052372,0001159036,"HALOZYME THERAPEUTICS, INC.",2021-02-23,2021-02-23T16:16:29-05:00,True,"8.01,9.01",OTHER
0001193125-19-294791,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-11-18,2019-11-18T17:02:04-05:00,True,"1.01,1.02,2.03,3.02,8.01,9.01",OTHER
0001193125-19-291625,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-11-14,2019-11-14T06:06:11-05:00,False,"8.01,9.01",OTHER
0001193125-19-289955,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-11-12,2019-11-12T16:15:10-05:00,True,"8.01,9.01",OTHER
0001193125-19-171015,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-06-12,2019-06-12T13:40:30-04:00,False,8.01,OTHER
0001193125-25-284609,0000874015,IONIS PHARMACEUTICALS INC,2025-11-17,2025-11-17T16:06:20-05:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001140361-25-041225,0000874015,IONIS PHARMACEUTICALS INC,2025-11-10,2025-11-10T06:04:26-05:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-035634,0000874015,IONIS PHARMACEUTICALS INC,2025-09-22,2025-09-22T07:05:51-04:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-033541,0000874015,IONIS PHARMACEUTICALS INC,2025-09-02,2025-09-02T07:05:42-04:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-032176,0000874015,IONIS PHARMACEUTICALS INC,2025-08-21,2025-08-21T14:01:34-04:00,False,"7.01,8.01,9.01",REGULATORY
0001140361-25-019620,0000874015,IONIS PHARMACEUTICALS INC,2025-05-19,2025-05-19T07:18:21-04:00,False,"8.01,9.01",CLINICAL
0001140361-24-050057,0000874015,IONIS PHARMACEUTICALS INC,2024-12-20,2024-12-20T14:28:21-05:00,False,"8.01,9.01",REGULATORY
0001193125-24-217333,0000874015,IONIS PHARMACEUTICALS INC,2024-09-12,2024-09-11T18:02:54-04:00,True,"8.01,9.01",OTHER
0001193125-24-215939,0000874015,IONIS PHARMACEUTICALS INC,2024-09-09,2024-09-09T16:33:00-04:00,True,8.01,OTHER
0001140361-24-028247,0000874015,IONIS PHARMACEUTICALS INC,2024-05-31,2024-05-31T07:15:31-04:00,False,"8.01,9.01",CLINICAL
0001140361-24-018449,0000874015,IONIS PHARMACEUTICALS INC,2024-04-08,2024-04-08T06:04:00-04:00,False,"8.01,9.01",CLINICAL
0001140361-24-002995,0000874015,IONIS PHARMACEUTICALS INC,2024-01-22,2024-01-22T07:10:32-05:00,False,"8.01,9.01",CLINICAL
0001140361-23-058974,0000874015,IONIS PHARMACEUTICALS INC,2023-12-22,2023-12-21T20:27:19-05:00,True,"8.01,9.01",REGULATORY
0001140361-23-045170,0000874015,IONIS PHARMACEUTICALS INC,2023-09-26,2023-09-26T07:05:21-04:00,False,"8.01,9.01",CLINICAL
0001140361-23-041038,0000874015,IONIS PHARMACEUTICALS INC,2023-08-23,2023-08-23T17:14:52-04:00,True,8.01,OTHER
0001140361-23-040746,0000874015,IONIS PHARMACEUTICALS INC,2023-08-22,2023-08-21T19:05:32-04:00,True,8.01,OTHER
0001140361-23-033840,0000874015,IONIS PHARMACEUTICALS INC,2023-07-10,2023-07-10T07:00:20-04:00,False,"8.01,9.01",CLINICAL
0001193125-23-165273,0000874015,IONIS PHARMACEUTICALS INC,2023-06-12,2023-06-12T16:03:53-04:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001193125-23-161613,0000874015,IONIS PHARMACEUTICALS INC,2023-06-06,2023-06-06T16:12:01-04:00,True,"8.01,9.01",OTHER
0001140361-23-020335,0000874015,IONIS PHARMACEUTICALS INC,2023-04-26,2023-04-25T20:40:57-04:00,True,"8.01,9.01",REGULATORY
0001140361-23-019757,0000874015,IONIS PHARMACEUTICALS INC,2023-04-24,2023-04-24T07:00:28-04:00,False,"8.01,9.01",CLINICAL
0001140361-23-013852,0000874015,IONIS PHARMACEUTICALS INC,2023-03-27,2023-03-27T06:01:29-04:00,False,"8.01,9.01",CLINICAL
0001140361-22-026294,0000874015,IONIS PHARMACEUTICALS INC,2022-07-19,2022-07-19T06:02:08-04:00,False,"8.01,9.01",OTHER
0001140361-22-023541,0000874015,IONIS PHARMACEUTICALS INC,2022-06-21,2022-06-21T06:03:49-04:00,False,"8.01,9.01",CLINICAL
0001140361-21-039298,0000874015,IONIS PHARMACEUTICALS INC,2021-11-24,2021-11-24T09:29:14-05:00,False,"8.01,9.01",CLINICAL
0001140361-21-034722,0000874015,IONIS PHARMACEUTICALS INC,2021-10-18,2021-10-18T14:31:14-04:00,False,"8.01,9.01",CLINICAL
0001193125-21-113586,0000874015,IONIS PHARMACEUTICALS INC,2021-04-13,2021-04-12T21:13:33-04:00,True,"1.01,2.03,3.02,8.01,9.01",OTHER
0001140361-21-009508,0000874015,IONIS PHARMACEUTICALS INC,2021-03-23,2021-03-22T19:40:05-04:00,True,"8.01,9.01",CLINICAL
0001140361-20-027746,0000874015,IONIS PHARMACEUTICALS INC,2020-12-09,2020-12-09T06:13:37-05:00,False,"8.01,9.01",PRESENTATION
0001193125-20-268017,0000874015,IONIS PHARMACEUTICALS INC,2020-10-13,2020-10-13T08:43:31-04:00,False,"2.01,8.01,9.01",OTHER
0001193125-20-235408,0000874015,IONIS PHARMACEUTICALS INC,2020-08-31,2020-08-31T07:05:04-04:00,False,"1.01,8.01,9.01",OTHER
0001658247-25-000008,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-09-26,2025-09-25T17:36:34-04:00,True,"7.01,8.01,9.01",REGULATORY
0000950170-25-090405,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-06-26,2025-06-26T16:16:14-04:00,True,"7.01,8.01,9.01",PRESENTATION
0000950170-25-003801,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-01-10,2025-01-10T07:34:34-05:00,False,"7.01,8.01,9.01",CLINICAL
0000950170-24-134342,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-12-09,2024-12-09T08:07:20-05:00,False,"8.01,9.01",REGULATORY
0001193125-24-235275,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-10-09,2024-10-09T17:13:00-04:00,True,"8.01,9.01",OTHER
0000950170-24-109644,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-09-26,2024-09-26T16:23:06-04:00,True,"8.01,9.01",REGULATORY
0001193125-24-165903,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-06-21,2024-06-21T17:24:56-04:00,True,"8.01,9.01",OTHER
0001193125-24-153075,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-06-03,2024-06-03T16:35:07-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-24-070706,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-03-19,2024-03-19T06:31:10-04:00,False,"7.01,8.01,9.01",CLINICAL
0001193125-24-065913,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-03-12,2024-03-12T16:25:02-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-24-055935,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-03-01,2024-03-01T16:07:02-05:00,True,"1.01,3.02,8.01,9.01",OTHER
0000950170-23-071084,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-12-18,2023-12-18T16:12:21-05:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-23-234504,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-09-13,2023-09-13T17:23:02-04:00,True,"8.01,9.01",OTHER
0001193125-23-231899,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-09-11,2023-09-11T06:05:58-04:00,False,"7.01,8.01,9.01",CLINICAL
0000950170-23-007454,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-03-13,2023-03-13T08:30:58-04:00,False,8.01,OTHER
0000950170-22-025709,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-11-28,2022-11-28T08:32:49-05:00,False,"8.01,9.01",REGULATORY
0000950170-22-019537,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-10-13,2022-10-13T08:32:01-04:00,False,"8.01,9.01",OTHER
0000950170-22-010602,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-05-25,2022-05-25T07:02:50-04:00,False,"7.01,8.01,9.01",PRESENTATION
0001193125-22-104334,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-04-13,2022-04-13T16:26:35-04:00,True,"8.01,9.01",OTHER
0000950170-22-004123,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-03-18,2022-03-17T18:22:20-04:00,True,8.01,OTHER
0001564590-22-001071,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-01-12,2022-01-12T07:35:16-05:00,False,8.01,PRESENTATION
0001564590-21-055080,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-11-08,2021-11-08T08:53:24-05:00,False,8.01,CLINICAL
0001193125-21-304041,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-10-21,2021-10-21T16:24:05-04:00,True,"8.01,9.01",OTHER
0001564590-21-051031,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-10-18,2021-10-18T16:08:26-04:00,True,8.01,OTHER
0001564590-21-048956,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-09-27,2021-09-27T07:54:38-04:00,False,8.01,OTHER
0001564590-21-048031,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-09-15,2021-09-15T16:05:54-04:00,True,"7.01,8.01,9.01",CLINICAL
0001564590-21-043067,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-08-10,2021-08-10T16:05:52-04:00,True,"2.02,7.01,8.01,9.01",CLINICAL
0001564590-21-034687,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-06-28,2021-06-28T07:30:29-04:00,False,8.01,OTHER
0001193125-21-110225,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-04-08,2021-04-08T16:09:56-04:00,True,"8.01,9.01",OTHER
0001564590-21-004179,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-02-04,2021-02-04T07:00:23-05:00,False,8.01,CLINICAL
0001564590-21-003931,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-02-03,2021-02-03T07:00:22-05:00,False,8.01,CLINICAL
0001564590-21-000325,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-01-06,2021-01-06T07:00:28-05:00,False,8.01,PRESENTATION
0001564590-20-047499,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-10-26,2020-10-26T06:55:33-04:00,False,"7.01,8.01,9.01",CLINICAL
0001564590-20-044046,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-09-21,2020-09-21T07:30:13-04:00,False,8.01,REGULATORY
0001193125-20-108092,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-04-15,2020-04-15T16:06:13-04:00,True,"8.01,9.01",OTHER
0001193125-20-099551,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-04-06,2020-04-06T16:35:59-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-25-331244,0001326110,"ImmunityBio, Inc.",2025-12-29,2025-12-23T19:25:40-05:00,True,"1.01,8.01,9.01",OTHER
0001326110-25-000143,0001326110,"ImmunityBio, Inc.",2025-12-12,2025-12-12T07:01:54-05:00,False,"8.01,9.01",REGULATORY
0001193125-25-177024,0001326110,"ImmunityBio, Inc.",2025-08-08,2025-08-08T16:30:53-04:00,True,"8.01,9.01",OTHER
0001193125-25-164789,0001326110,"ImmunityBio, Inc.",2025-07-25,2025-07-25T06:23:30-04:00,False,"1.01,2.02,7.01,8.01,9.01",OTHER
0001193125-25-112057,0001326110,"ImmunityBio, Inc.",2025-05-05,2025-05-05T07:15:22-04:00,False,"8.01,9.01",REGULATORY
0001193125-24-274871,0001326110,"ImmunityBio, Inc.",2024-12-11,2024-12-11T07:46:30-05:00,False,"1.01,8.01,9.01",OTHER
0001193125-24-274438,0001326110,"ImmunityBio, Inc.",2024-12-10,2024-12-10T17:28:29-05:00,True,"8.01,9.01",OTHER
0001326110-24-000115,0001326110,"ImmunityBio, Inc.",2024-11-19,2024-11-19T08:01:45-05:00,False,"8.01,9.01",CLINICAL
0001326110-24-000040,0001326110,"ImmunityBio, Inc.",2024-04-23,2024-04-23T06:17:01-04:00,False,"7.01,8.01,9.01",REGULATORY
0001326110-24-000003,0001326110,"ImmunityBio, Inc.",2024-01-02,2024-01-02T06:08:31-05:00,False,"1.01,2.03,3.02,8.01,9.01",OTHER
0001326110-23-000121,0001326110,"ImmunityBio, Inc.",2023-09-11,2023-09-11T06:25:05-04:00,False,"1.01,2.03,3.02,8.01,9.01",OTHER
0001326110-23-000112,0001326110,"ImmunityBio, Inc.",2023-09-01,2023-09-01T08:30:58-04:00,False,"8.01,9.01",OTHER
0001326110-23-000102,0001326110,"ImmunityBio, Inc.",2023-08-15,2023-08-15T16:15:56-04:00,True,"8.01,9.01",OTHER
0001193125-23-190491,0001326110,"ImmunityBio, Inc.",2023-07-20,2023-07-20T16:07:29-04:00,True,"8.01,9.01",OTHER
0001326110-23-000063,0001326110,"ImmunityBio, Inc.",2023-05-11,2023-05-11T06:45:11-04:00,False,"8.01,9.01",REGULATORY
0001326110-23-000023,0001326110,"ImmunityBio, Inc.",2023-03-20,2023-03-20T08:31:31-04:00,False,"8.01,9.01",REGULATORY
0001326110-23-000014,0001326110,"ImmunityBio, Inc.",2023-02-13,2023-02-13T08:02:31-05:00,False,"8.01,9.01",OTHER
0001193125-22-302356,0001326110,"ImmunityBio, Inc.",2022-12-12,2022-12-12T09:07:06-05:00,False,"1.01,2.02,2.03,7.01,8.01,9.01",OTHER
0001326110-22-000076,0001326110,"ImmunityBio, Inc.",2022-12-05,2022-12-05T10:51:43-05:00,False,"8.01,9.01",OTHER
0001193125-22-285314,0001326110,"ImmunityBio, Inc.",2022-11-15,2022-11-15T08:42:15-05:00,False,"7.01,8.01,9.01",PRESENTATION
0001193125-21-270970,0001326110,"ImmunityBio, Inc.",2021-09-13,2021-09-13T08:37:32-04:00,False,"2.02,8.01,9.01",CLINICAL
0001193125-21-190551,0001326110,"ImmunityBio, Inc.",2021-06-15,2021-06-15T07:11:00-04:00,False,"5.07,8.01,9.01",REGULATORY
0001193125-21-075243,0001326110,"ImmunityBio, Inc.",2021-03-10,2021-03-09T21:58:48-05:00,True,"2.01,2.03,5.02,5.03,5.07,7.01,8.01,9.01",OTHER
0001193125-21-057184,0001326110,"ImmunityBio, Inc.",2021-02-25,2021-02-25T17:15:13-05:00,True,8.01,OTHER
