accession,name,filing_date,my_label,llm_label,text_source
0001193125-25-256300,"HERON THERAPEUTICS, INC. /DE/",2025-10-29,Others,OTHER,exhibit
0001493152-25-001567,"Calidi Biotherapeutics, Inc.",2025-01-10,Others,OTHER,primary_item
0001493152-23-038049,"Ensysce Biosciences, Inc.",2023-10-24,Others,OTHER,exhibit
0001510964-22-000085,"CV Sciences, Inc.",2022-11-14,Others,OTHER,primary_item
0001370053-25-000091,"ANAPTYSBIO, INC",2025-11-10,Presentation,CLINICAL,primary_item
0001078782-19-000021,"AXIM BIOTECHNOLOGIES, INC.",2019-01-08,Others,OTHER,exhibit
0001558370-24-013357,"CAPRICOR THERAPEUTICS, INC.",2024-10-17,Others,OTHER,exhibit
0001437749-25-029349,"Contineum Therapeutics, Inc.",2025-09-18,Clinical,CLINICAL,primary_item
0001140361-24-018181,"Bionano Genomics, Inc.",2024-04-05,Others,OTHER,exhibit
0001493152-23-020081,"Dare Bioscience, Inc.",2023-06-05,Clinical,CLINICAL,exhibit
0001823239-24-000091,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2024-07-29,Others,OTHER,exhibit
0001193125-20-310114,"Equillium, Inc.",2020-12-04,Presentation,PRESENTATION,exhibit
0001628280-24-007972,"Cardiff Oncology, Inc.",2024-02-29,Others,CLINICAL,primary_item
0001370053-21-000072,"ANAPTYSBIO, INC",2021-11-15,Clinical,CLINICAL,primary_item
0001104659-23-068333,Zura Bio Ltd,2023-06-06,Others,OTHER,exhibit
0000950170-24-120902,"HERON THERAPEUTICS, INC. /DE/",2024-11-04,Others,OTHER,primary_item
0001213900-22-003972,"REVELATION BIOSCIENCES, INC.",2022-01-27,Others,OTHER,exhibit
0001564590-21-016669,"Equillium, Inc.",2021-03-30,Clinical,CLINICAL,exhibit
0000914475-25-000006,NEUROCRINE BIOSCIENCES INC,2025-01-27,Others,"OTHER

This filing announces a partnership restructuring and",exhibit
0001078782-19-000057,"AXIM BIOTECHNOLOGIES, INC.",2019-01-15,Presentation,PRESENTATION,primary_item
0001493152-24-029384,"Calidi Biotherapeutics, Inc.",2024-07-29,Others,OTHER,exhibit
0001370053-25-000081,"ANAPTYSBIO, INC",2025-09-29,Presentation,OTHER,primary_item
0001104659-24-000494,Zura Bio Ltd,2024-01-03,Presentation,PRESENTATION,exhibit
0000950170-24-088609,"Alphatec Holdings, Inc.",2024-07-31,Others,OTHER,exhibit
0001159036-20-000004,"HALOZYME THERAPEUTICS, INC.",2020-01-16,Presentation,PRESENTATION,primary_item
0001193125-21-326102,"ImageneBio, Inc.",2021-11-10,Presentation,PRESENTATION,exhibit
0000950170-23-071084,"Crinetics Pharmaceuticals, Inc.",2023-12-18,Clinical,CLINICAL,exhibit
0001564590-21-000713,aTYR PHARMA INC,2021-01-11,Presentation,PRESENTATION,exhibit
0001654954-24-003500,"Dermata Therapeutics, Inc.",2024-03-21,Others,OTHER,exhibit
0001510964-20-000072,"CV Sciences, Inc.",2020-11-05,Others,OTHER,primary_item
0001654954-23-003181,"Dermata Therapeutics, Inc.",2023-03-20,Others,OTHER,exhibit
0000950170-21-000338,"Equillium, Inc.",2021-06-10,Clinical,PRESENTATION,exhibit
0001193125-20-311281,"Equillium, Inc.",2020-12-07,Clinical,CLINICAL,exhibit
0001618835-23-000015,"Evofem Biosciences, Inc.",2023-03-10,Others,OTHER,primary_item
0001326110-24-000040,"ImmunityBio, Inc.",2024-04-23,Regulatory,REGULATORY,exhibit
0002007919-25-000089,"Inhibrx Biosciences, Inc.",2025-10-23,Clinical,CLINICAL,exhibit
0001213900-19-027124,"Ensysce Biosciences, Inc.",2019-12-30,Others,OTHER,exhibit
0001564590-20-046250,"Gossamer Bio, Inc.",2020-10-13,Clinical,CLINICAL,exhibit
0001193125-24-063785,"LENZ Therapeutics, Inc.",2024-03-08,Others,OTHER,exhibit
0001725160-22-000199,"Zentalis Pharmaceuticals, Inc.",2022-11-09,Others,"OTHER

This filing is primarily concerned with financial results",primary_item
0001193125-22-007333,"ImmunityBio, Inc.",2022-01-12,Others,OTHER,exhibit
0001193125-23-264201,"Alphatec Holdings, Inc.",2023-10-27,Others,OTHER,exhibit
0001104659-21-093483,Zura Bio Ltd,2021-07-19,Others,OTHER,exhibit
0001493152-23-044597,"Evofem Biosciences, Inc.",2023-12-12,Others,OTHER,exhibit
0001193125-19-221871,Arcturus Therapeutics Holdings Inc.,2019-08-15,Others,OTHER,exhibit
0001078782-19-000366,"AXIM BIOTECHNOLOGIES, INC.",2019-04-23,Others,"OTHER

This filing announces a commercial purchase order for",exhibit
0001144204-19-047446,"CAPRICOR THERAPEUTICS, INC.",2019-10-07,Clinical,CLINICAL,exhibit
0001193125-25-146905,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-06-25,Others,OTHER,exhibit
0001493152-24-017147,"Dare Bioscience, Inc.",2024-04-30,Others,OTHER,exhibit
0001516551-21-000009,"Skye Bioscience, Inc.",2021-09-30,Others,OTHER,primary_item
0001104659-24-119079,Zura Bio Ltd,2024-11-14,Regulatory,REGULATORY,exhibit
0001628280-24-012633,"LENZ Therapeutics, Inc.",2024-03-22,Others,OTHER,exhibit
0001564590-20-018698,"Alphatec Holdings, Inc.",2020-04-27,Others,OTHER,exhibit
0001493152-24-005220,"Calidi Biotherapeutics, Inc.",2024-02-07,Others,OTHER,primary_item
0000950170-25-091613,"Crinetics Pharmaceuticals, Inc.",2025-06-30,Presentation,PRESENTATION,exhibit
0001285550-23-000096,"ClearPoint Neuro, Inc.",2023-08-08,Others,OTHER,primary_item
0001193125-20-041309,"Ensysce Biosciences, Inc.",2020-02-19,Presentation,OTHER,exhibit
0001823239-24-000124,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2024-12-05,Others,OTHER,exhibit
0001193125-23-067513,"Kura Oncology, Inc.",2023-03-10,Others,OTHER,primary_item
0001193125-25-256367,"REVELATION BIOSCIENCES, INC.",2025-10-29,Others,OTHER,exhibit
0001193125-24-011738,"CalciMedica, Inc.",2024-01-22,Others,OTHER,primary_item
0001193125-20-248122,"GYRE THERAPEUTICS, INC.",2020-09-17,Presentation,PRESENTATION,exhibit
0001564590-21-037967,"Alphatec Holdings, Inc.",2021-07-26,Others,OTHER,exhibit
0001564590-19-046060,"HERON THERAPEUTICS, INC. /DE/",2019-12-16,Others,"OTHER

The filing announces the publication of mechanism of",exhibit
0001370053-21-000022,"ANAPTYSBIO, INC",2021-03-08,Clinical,CLINICAL,primary_item
