accession,cik,name,filing_date,acceptance_et,after_hours,items,llm_label
0001159036-20-000004,0001159036,"HALOZYME THERAPEUTICS, INC.",2020-01-16,2020-01-16T16:25:33-05:00,True,"7.01,9.01",PRESENTATION
0001159036-19-000046,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-09-04,2019-09-04T11:20:23-04:00,False,"7.01,9.01",PRESENTATION
0001159036-19-000002,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-01-09,2019-01-09T17:04:14-05:00,True,"7.01,9.01",PRESENTATION
0001140361-25-041225,0000874015,IONIS PHARMACEUTICALS INC,2025-11-10,2025-11-10T06:04:26-05:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-035634,0000874015,IONIS PHARMACEUTICALS INC,2025-09-22,2025-09-22T07:05:51-04:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-033541,0000874015,IONIS PHARMACEUTICALS INC,2025-09-02,2025-09-02T07:05:42-04:00,False,"7.01,8.01,9.01",CLINICAL
0001140361-25-032176,0000874015,IONIS PHARMACEUTICALS INC,2025-08-21,2025-08-21T14:01:34-04:00,False,"7.01,8.01,9.01",REGULATORY
0001658247-25-000008,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-09-26,2025-09-25T17:36:34-04:00,True,"7.01,8.01,9.01",REGULATORY
0000950170-25-091613,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-06-30,2025-06-30T16:26:17-04:00,True,"7.01,9.01",PRESENTATION
0000950170-25-090405,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-06-26,2025-06-26T16:16:14-04:00,True,"7.01,8.01,9.01",PRESENTATION
0000950170-25-025248,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-02-24,2025-02-24T08:50:52-05:00,False,"5.02,7.01,9.01",OTHER
0000950170-25-005435,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-01-14,2025-01-14T17:02:31-05:00,True,"7.01,9.01",PRESENTATION
0000950170-25-003801,0001658247,"Crinetics Pharmaceuticals, Inc.",2025-01-10,2025-01-10T07:34:34-05:00,False,"7.01,8.01,9.01",CLINICAL
0000950170-24-136680,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-12-16,2024-12-16T16:32:46-05:00,True,"5.02,7.01,9.01",OTHER
0001193125-24-153075,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-06-03,2024-06-03T16:35:07-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-24-144484,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-05-22,2024-05-22T08:23:34-04:00,False,"7.01,9.01",CLINICAL
0000950170-24-055872,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-05-08,2024-05-08T17:00:28-04:00,True,7.01,PRESENTATION
0001193125-24-070706,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-03-19,2024-03-19T06:31:10-04:00,False,"7.01,8.01,9.01",CLINICAL
0001193125-24-065913,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-03-12,2024-03-12T16:25:02-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-24-003929,0001658247,"Crinetics Pharmaceuticals, Inc.",2024-01-08,2024-01-08T08:03:59-05:00,False,"7.01,9.01",PRESENTATION
0000950170-23-071084,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-12-18,2023-12-18T16:12:21-05:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-23-231899,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-09-11,2023-09-11T06:05:58-04:00,False,"7.01,8.01,9.01",CLINICAL
0000950170-23-000460,0001658247,"Crinetics Pharmaceuticals, Inc.",2023-01-09,2023-01-09T08:43:33-05:00,False,"7.01,9.01",PRESENTATION
0000950170-22-010602,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-05-25,2022-05-25T07:02:50-04:00,False,"7.01,8.01,9.01",PRESENTATION
0000950170-22-005041,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-03-30,2022-03-30T16:05:24-04:00,True,"2.02,7.01,9.01",CLINICAL
0001564590-21-048031,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-09-15,2021-09-15T16:05:54-04:00,True,"7.01,8.01,9.01",CLINICAL
0001564590-21-043067,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-08-10,2021-08-10T16:05:52-04:00,True,"2.02,7.01,8.01,9.01",CLINICAL
0001564590-20-047499,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-10-26,2020-10-26T06:55:33-04:00,False,"7.01,8.01,9.01",CLINICAL
0001193125-20-099551,0001658247,"Crinetics Pharmaceuticals, Inc.",2020-04-06,2020-04-06T16:35:59-04:00,True,"7.01,8.01,9.01",CLINICAL
0001193125-25-164789,0001326110,"ImmunityBio, Inc.",2025-07-25,2025-07-25T06:23:30-04:00,False,"1.01,2.02,7.01,8.01,9.01",OTHER
0001193125-25-075102,0001326110,"ImmunityBio, Inc.",2025-04-08,2025-04-08T07:45:29-04:00,False,"1.01,7.01,9.01",OTHER
0001326110-24-000040,0001326110,"ImmunityBio, Inc.",2024-04-23,2024-04-23T06:17:01-04:00,False,"7.01,8.01,9.01",REGULATORY
0001193125-22-302356,0001326110,"ImmunityBio, Inc.",2022-12-12,2022-12-12T09:07:06-05:00,False,"1.01,2.02,2.03,7.01,8.01,9.01",OTHER
0001193125-22-285314,0001326110,"ImmunityBio, Inc.",2022-11-15,2022-11-15T08:42:15-05:00,False,"7.01,8.01,9.01",PRESENTATION
0001193125-22-042967,0001326110,"ImmunityBio, Inc.",2022-02-15,2022-02-15T09:00:33-05:00,False,"1.01,2.01,7.01,9.01",OTHER
0001193125-22-007333,0001326110,"ImmunityBio, Inc.",2022-01-12,2022-01-12T08:35:57-05:00,False,"1.01,7.01,9.01",OTHER
0001193125-21-361818,0001326110,"ImmunityBio, Inc.",2021-12-20,2021-12-20T09:07:02-05:00,False,"1.01,2.03,5.03,7.01,9.01",OTHER
0001193125-21-182190,0001326110,"ImmunityBio, Inc.",2021-06-04,2021-06-04T08:30:52-04:00,False,"7.01,9.01",PRESENTATION
0001193125-21-084244,0001326110,"ImmunityBio, Inc.",2021-03-17,2021-03-17T17:24:15-04:00,True,"7.01,9.01",PRESENTATION
0001193125-21-075243,0001326110,"ImmunityBio, Inc.",2021-03-10,2021-03-09T21:58:48-05:00,True,"2.01,2.03,5.02,5.03,5.07,7.01,8.01,9.01",OTHER
0001193125-21-007807,0001326110,"ImmunityBio, Inc.",2021-01-13,2021-01-13T09:17:38-05:00,False,"7.01,9.01",PRESENTATION
0000950170-25-004613,0001761918,"Erasca, Inc.",2025-01-13,2025-01-13T09:10:29-05:00,False,"7.01,9.01",PRESENTATION
0001193125-24-080630,0001761918,"Erasca, Inc.",2024-03-28,2024-03-28T16:14:07-04:00,True,"1.01,3.02,7.01,9.01",OTHER
0000950170-24-003199,0001761918,"Erasca, Inc.",2024-01-09,2024-01-09T09:00:57-05:00,False,"7.01,9.01",PRESENTATION
0001193125-23-004264,0001761918,"Erasca, Inc.",2023-01-09,2023-01-09T09:16:33-05:00,False,"7.01,9.01",PRESENTATION
0001193125-25-324830,0000886163,LIGAND PHARMACEUTICALS INC,2025-12-18,2025-12-18T16:11:52-05:00,True,7.01,OTHER
0000886163-25-000042,0000886163,LIGAND PHARMACEUTICALS INC,2025-07-02,2025-07-02T07:10:18-04:00,False,"7.01,9.01",OTHER
0000886163-25-000020,0000886163,LIGAND PHARMACEUTICALS INC,2025-04-17,2025-04-17T06:08:08-04:00,False,"7.01,9.01",OTHER
0000886163-25-000003,0000886163,LIGAND PHARMACEUTICALS INC,2025-02-25,2025-02-25T16:02:36-05:00,True,"1.01,7.01,9.01",OTHER
0000886163-24-000053,0000886163,LIGAND PHARMACEUTICALS INC,2024-07-08,2024-07-08T07:38:30-04:00,False,"1.01,7.01,9.01",OTHER
0000886163-22-000097,0000886163,LIGAND PHARMACEUTICALS INC,2022-06-29,2022-06-29T17:17:35-04:00,True,"5.02,7.01,9.01",OTHER
0001104659-22-072614,0000886163,LIGAND PHARMACEUTICALS INC,2022-06-21,2022-06-21T06:19:40-04:00,False,"7.01,9.01",PRESENTATION
0000886163-21-000102,0000886163,LIGAND PHARMACEUTICALS INC,2021-07-14,2021-07-14T16:08:33-04:00,True,"5.02,7.01,8.01,9.01",OTHER
0000886163-20-000110,0000886163,LIGAND PHARMACEUTICALS INC,2020-10-20,2020-10-20T10:52:40-04:00,False,"2.02,7.01,9.01",PRESENTATION
0000886163-20-000108,0000886163,LIGAND PHARMACEUTICALS INC,2020-10-13,2020-10-13T08:44:02-04:00,False,"1.01,7.01,9.01",OTHER
0001193125-20-260585,0000886163,LIGAND PHARMACEUTICALS INC,2020-10-01,2020-10-01T08:42:02-04:00,False,"1.01,2.01,7.01,9.01",OTHER
0000886163-19-000186,0000886163,LIGAND PHARMACEUTICALS INC,2019-10-16,2019-10-16T08:57:32-04:00,False,"5.02,7.01,9.01",OTHER
0000886163-19-000049,0000886163,LIGAND PHARMACEUTICALS INC,2019-03-12,2019-03-12T10:02:16-04:00,False,"7.01,9.01",PRESENTATION
0000886163-19-000043,0000886163,LIGAND PHARMACEUTICALS INC,2019-03-05,2019-03-05T17:16:42-05:00,True,"1.01,7.01,9.01",PRESENTATION
0001193125-21-105632,0001070494,ACADIA PHARMACEUTICALS INC,2021-04-05,2021-04-05T08:08:55-04:00,False,"7.01,8.01,9.01",REGULATORY
0001607678-25-000003,0001607678,"Viking Therapeutics, Inc.",2025-08-19,2025-08-19T07:09:43-04:00,False,"7.01,9.01",CLINICAL
0000950170-24-120267,0001607678,"Viking Therapeutics, Inc.",2024-11-04,2024-11-04T06:31:16-05:00,False,"7.01,9.01",CLINICAL
0000950170-24-068297,0001607678,"Viking Therapeutics, Inc.",2024-06-04,2024-06-04T07:10:11-04:00,False,"7.01,9.01",CLINICAL
0000950170-24-036151,0001607678,"Viking Therapeutics, Inc.",2024-03-26,2024-03-26T07:08:14-04:00,False,"7.01,9.01",CLINICAL
0000950170-24-020616,0001607678,"Viking Therapeutics, Inc.",2024-02-27,2024-02-27T07:04:52-05:00,False,"7.01,9.01",CLINICAL
0000950170-23-010112,0001607678,"Viking Therapeutics, Inc.",2023-03-28,2023-03-28T07:10:29-04:00,False,"7.01,9.01",OTHER
0000950170-23-010108,0001607678,"Viking Therapeutics, Inc.",2023-03-28,2023-03-28T06:42:19-04:00,False,"7.01,9.01",CLINICAL
0001564590-20-011413,0001607678,"Viking Therapeutics, Inc.",2020-03-17,2020-03-17T16:20:30-04:00,True,7.01,OTHER
0001193125-25-146905,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-06-25,2025-06-25T16:13:09-04:00,True,"5.02,7.01,9.01",OTHER
0001193125-25-137478,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-06-09,2025-06-09T08:40:50-04:00,False,"5.02,7.01,9.01",OTHER
0001823239-25-000059,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-03-20,2025-03-20T16:34:12-04:00,True,7.01,OTHER
0001823239-25-000028,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-02-25,2025-02-24T20:43:29-05:00,True,"2.02,7.01,9.01",OTHER
0001823239-24-000124,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2024-12-05,2024-12-05T16:07:27-05:00,True,"5.02,7.01",OTHER
0001823239-24-000091,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2024-07-29,2024-07-29T16:11:14-04:00,True,"5.02,7.01",OTHER
0001823239-23-000077,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2023-07-27,2023-07-27T16:11:00-04:00,True,"5.02,7.01,9.01",OTHER
0001823239-23-000072,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2023-07-20,2023-07-20T16:08:09-04:00,True,"5.02,7.01",OTHER
0001823239-23-000017,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2023-03-10,2023-03-10T16:07:41-05:00,True,7.01,OTHER
0001193125-22-296553,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2022-12-01,2022-12-01T16:26:04-05:00,True,"5.02,7.01,9.01",OTHER
0001823239-22-000052,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2022-10-19,2022-10-19T16:05:25-04:00,True,"5.02,7.01,9.01",OTHER
0001823239-22-000048,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2022-10-03,2022-10-03T16:07:22-04:00,True,"5.02,7.01,9.01",OTHER
0001823239-22-000006,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2022-01-28,2022-01-28T08:03:55-05:00,False,"7.01,9.01",OTHER
0001370053-25-000103,0001370053,"ANAPTYSBIO, INC",2025-11-26,2025-11-26T16:00:38-05:00,True,"7.01,9.01",OTHER
0001370053-25-000091,0001370053,"ANAPTYSBIO, INC",2025-11-10,2025-11-10T09:10:20-05:00,False,"7.01,8.01,9.01",CLINICAL
0001370053-25-000083,0001370053,"ANAPTYSBIO, INC",2025-10-14,2025-10-14T16:33:51-04:00,True,"7.01,9.01",PRESENTATION
0001370053-25-000081,0001370053,"ANAPTYSBIO, INC",2025-09-29,2025-09-29T16:29:55-04:00,True,"7.01,8.01,9.01",OTHER
0001370053-25-000052,0001370053,"ANAPTYSBIO, INC",2025-06-03,2025-06-03T17:20:42-04:00,True,"7.01,8.01",CLINICAL
0001370053-25-000014,0001370053,"ANAPTYSBIO, INC",2025-02-19,2025-02-19T17:10:30-05:00,True,7.01,PRESENTATION
0001370053-25-000010,0001370053,"ANAPTYSBIO, INC",2025-02-12,2025-02-12T08:30:37-05:00,False,"7.01,8.01",CLINICAL
0001370053-25-000002,0001370053,"ANAPTYSBIO, INC",2025-02-03,2025-02-03T08:55:32-05:00,False,"1.01,7.01",OTHER
0001370053-24-000003,0001370053,"ANAPTYSBIO, INC",2024-01-05,2024-01-05T16:09:38-05:00,True,"2.02,7.01,9.01",PRESENTATION
0001370053-23-000069,0001370053,"ANAPTYSBIO, INC",2023-11-27,2023-11-27T16:17:25-05:00,True,"1.01,7.01",OTHER
0001370053-23-000058,0001370053,"ANAPTYSBIO, INC",2023-10-25,2023-10-25T16:43:03-04:00,True,"7.01,9.01",PRESENTATION
0001370053-23-000054,0001370053,"ANAPTYSBIO, INC",2023-10-10,2023-10-10T09:01:13-04:00,False,"7.01,9.01",CLINICAL
0001370053-23-000005,0001370053,"ANAPTYSBIO, INC",2023-01-05,2023-01-05T16:12:16-05:00,True,"2.02,7.01,9.01",OTHER
0001370053-22-000064,0001370053,"ANAPTYSBIO, INC",2022-11-08,2022-11-08T16:08:53-05:00,True,"2.02,7.01,9.01",OTHER
0001370053-22-000052,0001370053,"ANAPTYSBIO, INC",2022-09-12,2022-09-12T07:32:57-04:00,False,"1.01,7.01,9.01",OTHER
0001370053-22-000049,0001370053,"ANAPTYSBIO, INC",2022-08-31,2022-08-31T16:19:39-04:00,True,"7.01,9.01",CLINICAL
0001370053-22-000019,0001370053,"ANAPTYSBIO, INC",2022-04-27,2022-04-27T16:18:20-04:00,True,"7.01,9.01",CLINICAL
0001370053-22-000014,0001370053,"ANAPTYSBIO, INC",2022-03-14,2022-03-14T16:26:20-04:00,True,"7.01,9.01",CLINICAL
0001370053-21-000072,0001370053,"ANAPTYSBIO, INC",2021-11-15,2021-11-15T09:05:10-05:00,False,"7.01,9.01",CLINICAL
0001370053-21-000060,0001370053,"ANAPTYSBIO, INC",2021-10-04,2021-10-04T09:00:42-04:00,False,"7.01,9.01",CLINICAL
0001370053-21-000046,0001370053,"ANAPTYSBIO, INC",2021-06-03,2021-06-02T19:11:46-04:00,True,"7.01,9.01",PRESENTATION
0001370053-21-000022,0001370053,"ANAPTYSBIO, INC",2021-03-08,2021-03-08T08:05:17-05:00,False,"7.01,9.01",CLINICAL
0001370053-21-000003,0001370053,"ANAPTYSBIO, INC",2021-01-11,2021-01-11T10:26:48-05:00,False,"2.02,7.01,9.01",PRESENTATION
0001370053-20-000053,0001370053,"ANAPTYSBIO, INC",2020-10-13,2020-10-13T09:05:48-04:00,False,"7.01,9.01",CLINICAL
0001370053-20-000050,0001370053,"ANAPTYSBIO, INC",2020-08-10,2020-08-10T08:06:30-04:00,False,"2.02,7.01,9.01",CLINICAL
0001370053-20-000003,0001370053,"ANAPTYSBIO, INC",2020-01-15,2020-01-15T10:11:51-05:00,False,"7.01,9.01",PRESENTATION
0001370053-19-000041,0001370053,"ANAPTYSBIO, INC",2019-11-08,2019-11-08T08:05:42-05:00,False,"2.02,7.01,9.01",CLINICAL
0001370053-19-000035,0001370053,"ANAPTYSBIO, INC",2019-09-30,2019-09-30T16:18:56-04:00,True,"7.01,9.01",CLINICAL
0001438133-20-000098,0001438133,TANDEM DIABETES CARE INC,2020-06-25,2020-06-24T20:15:36-04:00,True,7.01,OTHER
0001193125-24-243475,0001863127,"Tyra Biosciences, Inc.",2024-10-25,2024-10-25T08:01:32-04:00,False,"5.02,7.01,8.01,9.01",CLINICAL
0001193125-24-023367,0001863127,"Tyra Biosciences, Inc.",2024-02-05,2024-02-05T06:05:32-05:00,False,"1.01,3.02,7.01,9.01",OTHER
0001193125-21-318435,0001863127,"Tyra Biosciences, Inc.",2021-11-03,2021-11-03T16:16:37-04:00,True,"2.02,7.01,9.01",OTHER
0002007919-25-000097,0002007919,"Inhibrx Biosciences, Inc.",2025-12-16,2025-12-16T17:00:04-05:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-25-000089,0002007919,"Inhibrx Biosciences, Inc.",2025-10-23,2025-10-23T16:05:56-04:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-25-000007,0002007919,"Inhibrx Biosciences, Inc.",2025-01-21,2025-01-21T17:03:34-05:00,True,"7.01,8.01,9.01",CLINICAL
0002007919-25-000003,0002007919,"Inhibrx Biosciences, Inc.",2025-01-13,2025-01-13T16:18:50-05:00,True,"1.01,2.03,3.02,7.01,9.01",OTHER
0002007919-24-000031,0002007919,"Inhibrx Biosciences, Inc.",2024-08-13,2024-08-13T16:09:15-04:00,True,"2.02,7.01,9.01",OTHER
0002007919-24-000016,0002007919,"Inhibrx Biosciences, Inc.",2024-06-17,2024-06-17T16:03:05-04:00,True,"7.01,9.01",PRESENTATION
0001104659-24-065140,0002007919,"Inhibrx Biosciences, Inc.",2024-05-24,2024-05-24T16:21:16-04:00,True,"7.01,9.01",OTHER
0000950170-24-088609,0001350653,"Alphatec Holdings, Inc.",2024-07-31,2024-07-31T16:20:42-04:00,True,"2.02,5.02,7.01,9.01",OTHER
0000950170-24-033642,0001350653,"Alphatec Holdings, Inc.",2024-03-19,2024-03-19T17:05:17-04:00,True,7.01,PRESENTATION
0001193125-23-264201,0001350653,"Alphatec Holdings, Inc.",2023-10-27,2023-10-26T17:31:33-04:00,True,"1.01,7.01,9.01",OTHER
0001193125-23-261657,0001350653,"Alphatec Holdings, Inc.",2023-10-24,2023-10-24T16:05:56-04:00,True,"2.02,7.01,9.01",OTHER
0000950170-23-053803,0001350653,"Alphatec Holdings, Inc.",2023-10-17,2023-10-17T17:05:30-04:00,True,"5.02,7.01,9.01",OTHER
0000950170-23-007469,0001350653,"Alphatec Holdings, Inc.",2023-03-13,2023-03-13T09:05:53-04:00,False,7.01,OTHER
0001564590-22-021227,0001350653,"Alphatec Holdings, Inc.",2022-05-25,2022-05-25T10:58:52-04:00,False,"7.01,9.01",PRESENTATION
0001564590-21-037967,0001350653,"Alphatec Holdings, Inc.",2021-07-26,2021-07-26T16:45:44-04:00,True,"5.02,7.01,9.01",OTHER
0001564590-21-033642,0001350653,"Alphatec Holdings, Inc.",2021-06-21,2021-06-21T16:36:27-04:00,True,"5.02,5.07,7.01,9.01",OTHER
0001564590-21-028554,0001350653,"Alphatec Holdings, Inc.",2021-05-18,2021-05-18T09:14:20-04:00,False,"2.01,7.01,9.01",OTHER
0001564590-21-000928,0001350653,"Alphatec Holdings, Inc.",2021-01-12,2021-01-12T09:15:28-05:00,False,"2.02,7.01,9.01",OTHER
0001193125-20-319487,0001350653,"Alphatec Holdings, Inc.",2020-12-17,2020-12-17T06:07:07-05:00,False,"1.01,2.03,3.02,7.01,9.01",OTHER
0001564590-20-018698,0001350653,"Alphatec Holdings, Inc.",2020-04-27,2020-04-27T09:00:34-04:00,False,"1.01,1.02,2.03,7.01,9.01",OTHER
0001564590-20-015828,0001350653,"Alphatec Holdings, Inc.",2020-04-08,2020-04-08T09:00:21-04:00,False,"2.02,2.03,7.01,9.01",OTHER
0001193125-20-054035,0001350653,"Alphatec Holdings, Inc.",2020-02-28,2020-02-28T06:25:11-05:00,False,"1.01,3.02,7.01,9.01",OTHER
0000950170-24-132302,0001817713,"Janux Therapeutics, Inc.",2024-12-02,2024-12-02T17:10:46-05:00,True,"7.01,8.01,9.01",CLINICAL
0000950170-24-020183,0001817713,"Janux Therapeutics, Inc.",2024-02-26,2024-02-26T16:23:58-05:00,True,"7.01,9.01",CLINICAL
0001193125-23-187702,0001817713,"Janux Therapeutics, Inc.",2023-07-17,2023-07-17T08:06:01-04:00,False,"2.02,7.01,8.01,9.01",CLINICAL
0001193125-23-067513,0001422143,"Kura Oncology, Inc.",2023-03-10,2023-03-10T15:25:33-05:00,False,7.01,OTHER
0001193125-22-276373,0001422143,"Kura Oncology, Inc.",2022-11-03,2022-11-03T07:16:03-04:00,False,"1.01,2.03,3.02,7.01,9.01",OTHER
0001564590-20-050279,0001422143,"Kura Oncology, Inc.",2020-11-04,2020-11-04T11:23:46-05:00,False,"7.01,9.01",CLINICAL
0001564590-20-000890,0001422143,"Kura Oncology, Inc.",2020-01-13,2020-01-13T08:00:38-05:00,False,"7.01,9.01",PRESENTATION
0001564590-19-000287,0001422143,"Kura Oncology, Inc.",2019-01-07,2019-01-07T08:30:47-05:00,False,"7.01,9.01",PRESENTATION
0001193125-25-273317,0001906324,QuidelOrtho Corp,2025-11-10,2025-11-10T08:02:30-05:00,False,"7.01,9.01",OTHER
0001906324-24-000025,0001906324,QuidelOrtho Corp,2024-05-07,2024-05-07T16:14:37-04:00,True,"5.02,7.01,9.01",OTHER
0001906324-24-000006,0001906324,QuidelOrtho Corp,2024-02-16,2024-02-16T07:00:20-05:00,False,7.01,OTHER
0001906324-22-000004,0001906324,QuidelOrtho Corp,2022-07-07,2022-07-07T17:02:26-04:00,True,"7.01,9.01",OTHER
0000950170-25-105008,0001807120,"Design Therapeutics, Inc.",2025-08-07,2025-08-07T16:08:29-04:00,True,"2.02,7.01",CLINICAL
0000950170-25-004612,0001807120,"Design Therapeutics, Inc.",2025-01-13,2025-01-13T09:09:12-05:00,False,"7.01,9.01",NO_TEXT
0001140361-25-032295,0001124105,"GYRE THERAPEUTICS, INC.",2025-08-22,2025-08-22T07:05:42-04:00,False,"5.02,7.01,9.01",OTHER
0000950170-25-106525,0001124105,"GYRE THERAPEUTICS, INC.",2025-08-11,2025-08-11T16:00:57-04:00,True,"2.02,5.02,7.01,9.01",OTHER
0001140361-25-020157,0001124105,"GYRE THERAPEUTICS, INC.",2025-05-22,2025-05-22T16:01:49-04:00,True,"7.01,8.01,9.01",CLINICAL
0001140361-25-015880,0001124105,"GYRE THERAPEUTICS, INC.",2025-04-28,2025-04-28T07:05:24-04:00,False,"7.01,9.01",PRESENTATION
0001140361-25-004957,0001124105,"GYRE THERAPEUTICS, INC.",2025-02-18,2025-02-18T06:01:21-05:00,False,"2.02,7.01,9.01",OTHER
0001140361-25-000292,0001124105,"GYRE THERAPEUTICS, INC.",2025-01-06,2025-01-06T07:05:30-05:00,False,"5.02,7.01,9.01",OTHER
0001140361-24-036404,0001124105,"GYRE THERAPEUTICS, INC.",2024-08-08,2024-08-08T16:14:43-04:00,True,"5.02,7.01,8.01,9.01",OTHER
